Apr 16 15:11:47 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:53354, remote 68.232.44.121:http
Apr 16 15:11:48 hardik tcpspy[886]: disconnect: user hardik, local 192.168.1.106:56154, remote 173.194.127.56:https
Apr 16 15:11:48 hardik tcpspy[886]: disconnect: user hardik, local 192.168.1.106:56153, remote 173.194.127.56:https
Apr 16 15:11:48 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:36538, remote 74.125.236.167:http
Apr 16 15:11:48 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:53366, remote 68.232.44.121:http
Apr 16 15:11:48 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:53363, remote 68.232.44.121:http
Apr 16 15:11:52 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:56830, remote 66.155.40.250:http
Apr 16 15:11:52 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:56831, remote 66.155.40.250:http
Apr 16 15:11:53 hardik tcpspy[886]: disconnect: user hardik, local 192.168.1.106:53358, remote 68.232.44.121:http
Apr 16 15:11:53 hardik tcpspy[886]: disconnect: user hardik, local 192.168.1.106:53359, remote 68.232.44.121:http
Apr 16 15:11:53 hardik tcpspy[886]: disconnect: user hardik, local 192.168.1.106:53360, remote 68.232.44.121:http
Apr 16 15:11:53 hardik tcpspy[886]: disconnect: user hardik, local 192.168.1.106:53361, remote 68.232.44.121:http
Apr 16 15:11:53 hardik tcpspy[886]: disconnect: user hardik, local 192.168.1.106:53356, remote 68.232.44.121:http
Apr 16 15:11:53 hardik tcpspy[886]: disconnect: user hardik, local 192.168.1.106:53357, remote 68.232.44.121:http
Apr 16 15:11:53 hardik tcpspy[886]: disconnect: user hardik, local 192.168.1.106:53355, remote 68.232.44.121:http
Apr 16 15:11:53 hardik tcpspy[886]: disconnect: user hardik, local 192.168.1.106:53362, remote 68.232.44.121:http
Apr 16 15:11:53 hardik tcpspy[886]: disconnect: user hardik, local 192.168.1.106:53363, remote 68.232.44.121:http
Apr 16 15:11:53 hardik tcpspy[886]: disconnect: user hardik, local 192.168.1.106:53354, remote 68.232.44.121:http
Apr 16 15:11:53 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:47592, remote 74.125.236.175:https
Apr 16 15:11:53 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:47593, remote 74.125.236.175:https
Apr 16 15:11:53 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:42809, remote 66.155.40.249:http
Apr 16 15:11:53 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:42810, remote 66.155.40.249:http
Apr 16 15:11:54 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:60308, remote 192.0.80.241:http
Apr 16 15:11:54 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:60307, remote 192.0.80.241:http
Apr 16 15:12:03 hardik tcpspy[886]: disconnect: user hardik, local 192.168.1.106:47593, remote 74.125.236.175:https
Apr 16 15:12:04 hardik tcpspy[886]: connect: user hardik, local 192.168.1.106:42815, remote 66.155.40.249:http
